neighbourhood_group,neighbourhood,listings,median_price,avg_price,median_availability
Manhattan,Greenwich Village,69,200.0,209.52173913043478,173.0
Manhattan,West Village,171,200.0,206.70760233918128,127.0
Manhattan,SoHo,105,193.0,208.8190476190476,177.0
Manhattan,Financial District,163,193.0,192.53374233128835,173.0
Manhattan,Theater District,118,177.0,191.61864406779662,281.0
Brooklyn,Park Slope,144,172.5,171.47222222222223,165.0
Manhattan,Chelsea,309,171.0,183.31391585760517,242.0
Brooklyn,Carroll Gardens,70,169.5,178.4142857142857,178.0
Brooklyn,Greenpoint,275,162.0,169.26909090909092,180.0
Manhattan,Midtown,816,162.0,173.59313725490196,179.0
Brooklyn,Prospect Heights,79,159.0,168.2405063291139,173.0
Brooklyn,South Slope,68,158.5,176.13235294117646,144.5
Manhattan,Nolita,62,157.5,176.3709677419355,178.5
Manhattan,Hell's Kitchen,737,156.0,174.51967435549525,218.0
Brooklyn,Fort Greene,145,150.0,160.59310344827585,173.0
Manhattan,East Village,360,150.0,164.90555555555557,179.0
Brooklyn,Clinton Hill,161,150.0,164.71428571428572,173.0
Manhattan,Little Italy,66,146.5,169.15151515151516,255.5
Manhattan,Upper West Side,555,145.0,159.62882882882883,231.0
Brooklyn,Gowanus,81,143.0,161.30864197530863,216.0
Manhattan,Murray Hill,180,141.0,160.9,356.0
Brooklyn,Williamsburg,897,141.0,156.50836120401337,134.0
Manhattan,Lower East Side,292,130.0,156.76712328767124,180.0
Queens,Long Island City,239,130.0,142.77824267782427,180.0
Manhattan,Kips Bay,170,129.5,149.11176470588236,323.5
Queens,Springfield Gardens,108,127.5,130.38888888888889,244.5
Bronx,Mott Haven,55,125.0,138.07272727272726,261.0
Manhattan,Upper East Side,728,125.0,142.80494505494505,299.5
Brooklyn,Windsor Terrace,54,125.0,145.0185185185185,222.0
Brooklyn,Crown Heights,628,122.5,139.10987261146497,190.0
Queens,South Ozone Park,62,121.5,138.8548387096774,336.0
Manhattan,Chinatown,143,120.0,139.16783216783216,180.0
Brooklyn,Prospect-Lefferts Gardens,204,120.0,132.75,179.0
Manhattan,Morningside Heights,52,120.0,131.19230769230768,178.0
Queens,Arverne,59,118.0,134.10169491525423,286.0
Brooklyn,Flatbush,249,115.0,126.4859437751004,218.0
Brooklyn,East New York,243,115.0,125.51440329218107,185.0
Queens,Rockaway Beach,52,114.5,137.53846153846155,177.5
Brooklyn,Canarsie,188,113.5,127.06914893617021,279.5
Manhattan,Harlem,1019,110.0,127.17762512266928,189.0
Manhattan,East Harlem,359,110.0,125.016713091922,180.0
Brooklyn,Bedford-Stuyvesant,1503,110.0,121.98070525615435,188.0
Queens,Forest Hills,70,109.0,127.02857142857142,180.0
Brooklyn,Sheepshead Bay,72,105.0,124.43055555555556,232.5
Queens,Rosedale,82,103.5,123.2560975609756,207.5
Queens,Laurelton,50,102.5,109.84,280.5
Brooklyn,Sunset Park,168,100.5,113.24404761904762,189.5
Queens,Jamaica,234,100.0,118.02136752136752,270.0
Manhattan,Gramercy,125,100.0,134.704,180.0
Brooklyn,East Flatbush,391,100.0,116.36317135549872,284.0
Queens,Queens Village,57,100.0,131.40350877192984,339.0
Brooklyn,Flatlands,76,100.0,108.47368421052632,359.0
Queens,St. Albans,108,99.5,111.05555555555556,286.5
Queens,Ridgewood,159,99.0,119.44025157232704,180.0
Queens,East Elmhurst,180,98.0,122.32777777777778,267.5
Brooklyn,Bushwick,734,96.0,113.7125340599455,207.5
Queens,Richmond Hill,91,95.0,117.32967032967034,261.0
Brooklyn,Brownsville,90,93.5,114.58888888888889,310.5
Queens,Ditmars Steinway,130,92.5,111.5923076923077,180.0
Queens,Sunnyside,136,92.5,106.13235294117646,260.5
Queens,Jackson Heights,134,91.0,100.15671641791045,199.5
Brooklyn,Kensington,53,90.0,114.83018867924528,218.0
Bronx,Williamsbridge,54,90.0,97.05555555555556,321.0
Queens,Astoria,354,90.0,104.54237288135593,180.0
Queens,Flushing,319,85.0,103.5423197492163,249.0
Manhattan,Washington Heights,294,85.0,105.56802721088435,180.0
Manhattan,Inwood,87,84.0,93.80459770114942,90.0
Bronx,Wakefield,66,80.0,99.1969696969697,333.5
Queens,Maspeth,69,80.0,93.3623188405797,109.0
Brooklyn,Cypress Hills,134,80.0,96.14179104477611,266.5
Brooklyn,Bay Ridge,82,79.0,105.86585365853658,184.5
Brooklyn,Midwood,53,77.0,99.52830188679245,179.0
Bronx,Kingsbridge,55,75.0,86.49090909090908,180.0
Queens,Corona,50,73.0,83.78,192.5
Queens,Woodhaven,70,71.5,91.92857142857143,151.0
Queens,Elmhurst,143,70.0,79.26573426573427,90.0
Queens,Woodside,170,49.0,79.11764705882354,88.5
